BookName,Title,Author,ImageBook,CategoryId,ISBN,PublishedDate
Object-Oriented Programming and Java,Object-Oriented Programming and Java,"Danny Poo, Derek Kiong, Swarnalatha Ashok",http://books.google.com/books/content?id=r10U16kgmkwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781846289637,2007-09-07
Technical Java,Technical Java,Grant Palmer,http://books.google.com/books/content?id=_NSqe1MOI7IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0131018159,2003
Java All-In-One Desk Reference For Dummies,Java All-In-One Desk Reference For Dummies,"Doug Lowe, Barry A. Burd",http://books.google.com/books/content?id=QEj6CFFdN4sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781118051337,2011-02-25
Performance Analysis for Java Web Sites,Performance Analysis for Java Web Sites,"Stacy Joines, Ruth Willenborg, Ken Hygh",http://books.google.com/books/content?id=HTX8DyD0WzkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0201844540,2003
Java For Everyone,Java For Everyone,Cay S. Horstmann,http://books.google.com/books/content?id=C5ADQbl1LL8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780471791911,2010-02-02
Java for Students,Java for Students,"Doug Bell, Mike Parr",http://books.google.com/books/content?id=TRUdyfwdaSoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9702601444,2001
Java Design Patterns,Java Design Patterns,James William Cooper,http://books.google.com/books/content?id=SrJRu8T69FcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0201485397,2000
Jython for Java Programmers,Jython for Java Programmers,Robert W. Bill,http://books.google.com/books/content?id=-7MMHfZ8bc8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0735711119,2002
Conducting the Java Job Interview,Conducting the Java Job Interview,Jeffrey M. Hunter,http://books.google.com/books/content?id=JIpRKUQSJnIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,0974435589,2004
Java EE and .NET Interoperability,Java EE and .NET Interoperability,"Marina Fisher, Sonu Sharma, Ray Lai, Laurence Moroney",http://books.google.com/books/content?id=CXnCJhrB3g4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780132715706,2006-04-21
Java Web Services: Up and Running,Java Web Services: Up and Running,Martin Kalin,http://books.google.com/books/content?id=694fvh2hdVEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780596555443,2009-02-12
Object-oriented Programming with Java,Object-oriented Programming with Java,"Barry J. Holmes, Daniel T. Joyce",http://books.google.com/books/content?id=271wpK2CQ0EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0763714356,2001
Learning Java,Learning Java,"Patrick Niemeyer, Jonathan Knudsen",http://books.google.com/books/content?id=fQOPp3HN5skC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0596002858,2002
Java Precisely,Java Precisely,Peter Sestoft,http://books.google.com/books/content?id=TTVu8A3K9ysC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0262693259,2005
Java Card for E-Payment Applications,Java Card for E-Payment Applications,,http://books.google.com/books/content?id=IhnUSceC0lcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,1608071367,
Java Deployment,Java Deployment,Mauro Marinilli,http://books.google.com/books/content?id=lbvUD6LUyV8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0672321823,2002
Complete Java 2 Certification Study Guide,Complete Java 2 Certification Study Guide,"Philip Heller, Simon Roberts",http://books.google.com/books/content?id=hmOD4a3bUr0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780782150605,2006-02-20
Sun Java 2 Enterprise Edition (J2EE) Web Component Developer Exam,Sun Java 2 Enterprise Edition (J2EE) Web Component Developer Exam,Alain Trottier,http://books.google.com/books/content?id=mTbNYFg9QrwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0789728214,2002
Beginning Cryptography with Java,Beginning Cryptography with Java,David Hook,http://books.google.com/books/content?id=WLLAD2FKH3IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780470309520,2008-04-21
Some Notes on Java and Its Administration by the Dutch,Some Notes on Java and Its Administration by the Dutch,Henry Scott Boys,http://books.google.com/books/content?id=3r5GAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Java (Indonesia),,1892
"The Rambles of a Globe Trotter in Australasia, Japan, China, Java, India, and Cashmere","The Rambles of a Globe Trotter in Australasia, Japan, China, Java, India, and Cashmere",Egerton K. Laird,http://books.google.com/books/content?id=_F4BAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Australasia,,1875
British Museum Catalogue of printed Books,British Museum Catalogue of printed Books,,http://books.google.com/books/content?id=pHBpnwY16JQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1889
"The American Hereford Record, and Hereford Herd Book","The American Hereford Record, and Hereford Herd Book",,http://books.google.com/books/content?id=LzNanYiw19cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Cattle,,1905
Subject-index to the author-catalogue. 1908-10. 2 v,Subject-index to the author-catalogue. 1908-10. 2 v,"Imperial Library, Calcutta",http://books.google.com/books/content?id=XTA1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,India,,1908
Weekly Statistical Sugar Trade Journal,Weekly Statistical Sugar Trade Journal,,http://books.google.com/books/content?id=665KAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Sugar trade,,1915
Proceedings of the United States National Museum,Proceedings of the United States National Museum,United States National Museum,http://books.google.com/books/content?id=LOw_AAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Science,,1913
Exporter's Directory of the Netherlands East Indies,Exporter's Directory of the Netherlands East Indies,Dutch East Indies. Departement van Economische Zaken,http://books.google.com/books/content?id=BjZBAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Indonesia,,1916
Java,Java,"Harvey M. Deitel, Paul J. Deitel",http://books.google.com/books/content?id=IZHEHMBJ8I4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,0136325890,1997
Mid-Pacific Magazine,Mid-Pacific Magazine,"Alexander Hume Ford, George Mellen",http://books.google.com/books/content?id=K78KAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Hawaii,,1914
International Catalogue of Scientific Literature,International Catalogue of Scientific Literature,,http://books.google.com/books/content?id=dlJaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Zoology,,1916
Computing Concepts with Java 2 Essentials,Computing Concepts with Java 2 Essentials,Cay S. Horstmann,http://books.google.com/books/content?id=A35QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,2000
The Zoological Record,The Zoological Record,,http://books.google.com/books/content?id=SyoRqqfXR_4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Classification,,1919
Teach Yourself Java 1.1 Programming in 24 Hours,Teach Yourself Java 1.1 Programming in 24 Hours,Rogers Cadenhead,http://books.google.com/books/content?id=Std9GuQq-IcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1575213370,1997
Creating Web Applets with Java,Creating Web Applets with Java,David Gulbransen,http://books.google.com/books/content?id=EvhrpcSVRyYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,1996
C# for Java Developers,C# for Java Developers,"Allen Jones, Adam Freeman",http://books.google.com/books/content?id=hdhLdx6V72UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,0735617791,2003
Late Night Advanced Java,Late Night Advanced Java,"Jason Wehling, Vidya Bharat",http://books.google.com/books/content?id=f7-Gvy0Vc8kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,1562764071,1996
Programming Open Service Gateways with Java Embedded Server Technology,Programming Open Service Gateways with Java Embedded Server Technology,"Kirk Chen, Li Gong",http://books.google.com/books/content?id=nbxQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,2002
The American Hereford Record and Hereford Herd Book,The American Hereford Record and Hereford Herd Book,American Hereford Cattle Breeders' Association,http://books.google.com/books/content?id=cthIAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1909
Java Programming,Java Programming,Jan L. Harrington,http://books.google.com/books/content?id=zlIPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,1998-01-07
Prelude to Patterns in Computer Science Using Java,Prelude to Patterns in Computer Science Using Java,Ed C. Epp,http://books.google.com/books/content?id=bSipQyrsCKkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,1887902554,2001
"Mastering Enterprise JavaBeans and the Java 2 Platform, Enterprise Edition","Mastering Enterprise JavaBeans and the Java 2 Platform, Enterprise Edition",Ed Roman,http://books.google.com/books/content?id=cM1QAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,1999-10-08
Java Transaction Processing,Java Transaction Processing,"Mark Cameron Little, Jonathan Maron, Greg Pavlik",http://books.google.com/books/content?id=5bRQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,2004
Transactions of the Royal Geographical Society of Australasia (Victorian Branch).,Transactions of the Royal Geographical Society of Australasia (Victorian Branch).,Royal Geographical Society of Australasia. Victorian Branch,http://books.google.com/books/content?id=KNpJAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Australia,,1893
Java and Madura,Java and Madura,Great Britain. Foreign Office. Historical Section,http://books.google.com/books/content?id=4l1OAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Java (Indonesia),,1920
"Nuclear Power Planning Study for Indonesia, Java Island","Nuclear Power Planning Study for Indonesia, Java Island",International Atomic Energy Agency,http://books.google.com/books/content?id=MIZWAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Technology & Engineering,,1976
Java Servlet Programming,Java Servlet Programming,"Jason Hunter, William Crawford",http://books.google.com/books/content?id=5YYhS65LztgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,156592391X,1998
The Encyclopaedia Britannica: Ita to Lor,The Encyclopaedia Britannica: Ita to Lor,,http://books.google.com/books/content?id=4KVV1x0q8KUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
Land Preparation in West Java,Land Preparation in West Java,"I. Ketut Nehen, Ian R. Wills",http://books.google.com/books/content?id=WG66AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Crop yields,,1986
Porting a JAVA [superscript Tm] Virtual Machine to an Embedded System,Porting a JAVA [superscript Tm] Virtual Machine to an Embedded System,Paul Caamano,http://books.google.com/books/content?id=u0wiAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Embedded computer systems,,2000
The Temples of Java,The Temples of Java,Jacques Dumarçay,http://books.google.com/books/content?id=p-DVAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Architecture,,1986
Meanings of Change in the Poetry of Nineteenth-century Java,Meanings of Change in the Poetry of Nineteenth-century Java,John Anthony Day,http://books.google.com/books/content?id=dpVuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Java (Indonesia),,1981
Annual Report of the President of the Java Bank (De Javasche Bank) and the Board of Directors for Year ... Being the ... of the Company Presented at the General Meeting of Shareholders on ...,Annual Report of the President of the Java Bank (De Javasche Bank) and the Board of Directors for Year ... Being the ... of the Company Presented at the General Meeting of Shareholders on ...,Javasche Bank,http://books.google.com/books/content?id=fVUMAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Banks and banking,,1927
Ferns: British and Exotic,Ferns: British and Exotic,Lowe,http://books.google.com/books/content?id=2bWmz12aHRwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1872
The Tea & Coffee Trade Journal,The Tea & Coffee Trade Journal,,http://books.google.com/books/content?id=KomScOSduYcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Coffee industry,,1917
Gazetteer of the Bombay Presidency ...: pt. 1. History of Gujarát,Gazetteer of the Bombay Presidency ...: pt. 1. History of Gujarát,Bombay (India : State),http://books.google.com/books/content?id=0bkMAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bombay (India : State),,1896
The Java Developers Almanac 1.4,The Java Developers Almanac 1.4,Patrick Chan,http://books.google.com/books/content?id=2NNQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,2002
"Palynology and Paleobotany of the Java and Lowermost Canadaway Formations, Upper Devonian (Senecan/Chautauquan) New York State","Palynology and Paleobotany of the Java and Lowermost Canadaway Formations, Upper Devonian (Senecan/Chautauquan) New York State",Gordon D. Wood,http://books.google.com/books/content?id=XKefzcdhCYEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Paleobotany,,1978
Journey to Java,Journey to Java,Harold Nicolson,http://books.google.com/books/content?id=cSomAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Java (Indonesia),,1957
The Americana,The Americana,,http://books.google.com/books/content?id=FE1CAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
"The Islands of Indonesia: Java, bride of the endless sea. Book 2. Sumatra, land of gold. Book 3. Celebes and Amboina, the fragrand Spice Islaes. Book 4. Bali, the enchanted isle","The Islands of Indonesia: Java, bride of the endless sea. Book 2. Sumatra, land of gold. Book 3. Celebes and Amboina, the fragrand Spice Islaes. Book 4. Bali, the enchanted isle",Nina Epton,http://books.google.com/books/content?id=RS3lAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Indonesia,,1955
The Encyclopædia Britannica,The Encyclopædia Britannica,Hugh Chisholm,http://books.google.com/books/content?id=RlczAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
The Tropical Agriculturalist,The Tropical Agriculturalist,,http://books.google.com/books/content?id=BYIQAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Agriculture,,1915
"Annual Report, Connecticut Agricultural Experiment Station for ...","Annual Report, Connecticut Agricultural Experiment Station for ...",Connecticut Agricultural Experiment Station,http://books.google.com/books/content?id=KZhNAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Agriculture,,1903
Annual Report,Annual Report,Connecticut Agricultural Experiment Station,http://books.google.com/books/content?id=EUXOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Agricultural innovations,,1904
Diplomatic and Consular Reports,Diplomatic and Consular Reports,Great Britain. Foreign Office,http://books.google.com/books/content?id=FIROAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Consular reports,,1905
Beverages and their adulteration,Beverages and their adulteration,Harvey Washington Wiley,http://books.google.com/books/content?id=_Ii5DbQZ5HsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1919
Transactions of the Department of Agriculture of the State of Illinois with Reports from County Agricultural Societies for the Year,Transactions of the Department of Agriculture of the State of Illinois with Reports from County Agricultural Societies for the Year,Illinois. Dept. of Agriculture,http://books.google.com/books/content?id=wqhIAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Agriculture,,1900
Annual Report,Annual Report,Connecticut Agricultural Experiment Station,http://books.google.com/books/content?id=EUXOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Agricultural innovations,,1904
Fourth Pacific Science Congress to be Held in Java Under the Auspices of the Netherlands Indies Science Council ...,Fourth Pacific Science Congress to be Held in Java Under the Auspices of the Netherlands Indies Science Council ...,,http://books.google.com/books/content?id=6SUWAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,1928
International Trade Developer,International Trade Developer,,http://books.google.com/books/content?id=5u4-AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Commerce,,1917
China. Pacific and Indian Oceans. Australia. India. Central Asia,China. Pacific and Indian Oceans. Australia. India. Central Asia,Arthur Mee,http://books.google.com/books/content?id=tHBKAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,World history,,1908
Documents of the Assembly of the State of New York,Documents of the Assembly of the State of New York,New York (State). Legislature. Assembly,http://books.google.com/books/content?id=4VFyNj4rB4MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,New York (State),,1899
Annual Report,Annual Report,New York (State) Dept. of Agriculture,http://books.google.com/books/content?id=eCdJAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1899
The Encyclopaedia Britannica ...,The Encyclopaedia Britannica ...,,http://books.google.com/books/content?id=Gd1EAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1902
The Cyclopædia of India and of Eastern and Southern Asia,The Cyclopædia of India and of Eastern and Southern Asia,Edward Balfour,http://books.google.com/books/content?id=3U0OAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Asia, Southeastern",,1885
Journal & Proceedings of the Asiatic Society of Bengal,Journal & Proceedings of the Asiatic Society of Bengal,,http://books.google.com/books/content?id=JttHAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Asia,,1906
Report of the State Entomologist of Connecticut for the Year,Report of the State Entomologist of Connecticut for the Year,Connecticut. Office of State Entomologist,http://books.google.com/books/content?id=za07AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1901
The Statesman's Year-book,The Statesman's Year-book,,http://books.google.com/books/content?id=W8o-AAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Political science,,1906
Annual Report of the Commissioner of Agriculture for the Year ...,Annual Report of the Commissioner of Agriculture for the Year ...,New York (State). Department of Agriculture,http://books.google.com/books/content?id=ch01AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Agriculture,,1910
"Catalogue of the Birds in the British Museum: Passeriformes, or perching birds. Cichlomorphœ: pt. V, containing the families Paridœ and Laniidœ (titmice and shrikes) and Certhiomorphœ (creepers and nuthatches) by H. Godaw","Catalogue of the Birds in the British Museum: Passeriformes, or perching birds. Cichlomorphœ: pt. V, containing the families Paridœ and Laniidœ (titmice and shrikes) and Certhiomorphœ (creepers and nuthatches) by H. Godaw",British Museum (Natural History). Department of Zoology,http://books.google.com/books/content?id=7fMZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Birds,,1883
Report,Report,New York (State). Dept. of Agriculture,http://books.google.com/books/content?id=_v9IAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1910
Tropical Agriculturist and Magazine of the Ceylon Agricultural Society,Tropical Agriculturist and Magazine of the Ceylon Agricultural Society,,http://books.google.com/books/content?id=qedGAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Agriculture,,1914
"The Cyclopaedia of India and of Eastern and Southern Asia, Commercial, Industrial, and Scientific ; Products of the Mineral, Vegetable and Animal Kingdoms, Useful Arts and Manufactures","The Cyclopaedia of India and of Eastern and Southern Asia, Commercial, Industrial, and Scientific ; Products of the Mineral, Vegetable and Animal Kingdoms, Useful Arts and Manufactures",Edward Balfour,http://books.google.com/books/content?id=4yrrv6hnjWQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1885
The Outlook,The Outlook,"Lyman Abbott, Hamilton Wright Mabie, Ernest Hamlin Abbott, Francis Rufus Bellamy",http://books.google.com/books/content?id=D1ocAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,United States,,1910
The Encyclopedia Americana,The Encyclopedia Americana,"Frederick Converse Beach, Forrest Morgan, E. T. Roe, George Edwin Rines, Nathan Haskell Dole, Edward Thomas Roe, Thomas Campbell Copeland",http://books.google.com/books/content?id=e9FCAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1903
Travels from the Grandeurs of the West to Mysteries of the East,Travels from the Grandeurs of the West to Mysteries of the East,Charlton Bristow Perkins,http://books.google.com/books/content?id=ogYUAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Travel,,1909
The Federal Cases,The Federal Cases,,http://books.google.com/books/content?id=fVlQAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Law reports, digests, etc",,1895
Proceedings of the Parliament of South Australia,Proceedings of the Parliament of South Australia,South Australia. Parliament,http://books.google.com/books/content?id=glwvAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,South Australia,,1870
Proceedings of the Canadian Institute,Proceedings of the Canadian Institute,Canadian Institute,http://books.google.com/books/content?id=Kz5AAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1898
A Contribution to the Zoogeography of the East Indian Islands,A Contribution to the Zoogeography of the East Indian Islands,Thomas Barbour,http://books.google.com/books/content?id=AAO71Dmwvf8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Zoogeography,,1912
Transactions of the Cambridge Philosophical Society,Transactions of the Cambridge Philosophical Society,Cambridge Philosophical Society,http://books.google.com/books/content?id=Xf0IAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,,1879
"Catalogue of Scientific Papers, 1800-1900","Catalogue of Scientific Papers, 1800-1900",Royal Society (Great Britain),http://books.google.com/books/content?id=PK1QAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Classification,,1894
Geographical pathology v. 2,Geographical pathology v. 2,Andrew Davidson,http://books.google.com/books/content?id=F5MDfHE-6pEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1892
Annual Report of the Department of Agriculture ...,Annual Report of the Department of Agriculture ...,New York. Department of Agriculture,http://books.google.com/books/content?id=RMIjAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1918
"International Catalogue of Scientific Literature, 1901-1914","International Catalogue of Scientific Literature, 1901-1914",,http://books.google.com/books/content?id=aAlg8s6yfF0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Classification,,1904
All India Reporter,All India Reporter,,http://books.google.com/books/content?id=Yq5DAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Law reports, digests, etc",,1919
The Cyclopaedia of India and of Eastern and Southern Asia,The Cyclopaedia of India and of Eastern and Southern Asia,Edward Balfour,http://books.google.com/books/content?id=gYoZSs9zBPYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,East Asia,,1885
Harper's popular cyclopedia of U.S. history,Harper's popular cyclopedia of U.S. history,Benson John Lossing,http://books.google.com/books/content?id=gJhsHGj1JQoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1887
Library of Universal Knowledge,Library of Universal Knowledge,,http://books.google.com/books/content?id=78hZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1880
North German Lloyd Bulletin,North German Lloyd Bulletin,,http://books.google.com/books/content?id=BoY-AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Ocean travel,,1911
Official Guide for Shippers & Travellers to the Principal Ports of the World,Official Guide for Shippers & Travellers to the Principal Ports of the World,,http://books.google.com/books/content?id=N_4hAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Commerce,,1919
The Nautilus,The Nautilus,,http://books.google.com/books/content?id=ESJCAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Mollusks,,1893
The Sabbath Recorder,The Sabbath Recorder,,http://books.google.com/books/content?id=FSlFAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Baptists,,1918
